epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2506.81,0.86688,0.87302,1.05224,0.71931,0.59545,0.64555,0.39438,1.45459,1.2234,1.26137,0.000660045,0.000660045,0.000660045
43,2566.14,0.8642,0.86595,1.0528,0.79019,0.62573,0.71405,0.43984,1.39869,1.0412,1.21317,0.000649046,0.000649046,0.000649046
44,2624.59,0.86754,0.8576,1.04914,0.79305,0.64809,0.7358,0.46318,1.35714,1.0114,1.18066,0.000638047,0.000638047,0.000638047
45,2684.32,0.85931,0.85546,1.04704,0.71691,0.58118,0.63784,0.39352,1.46405,1.26214,1.23874,0.000627048,0.000627048,0.000627048
46,2742.44,0.86237,0.85886,1.04789,0.76179,0.66892,0.7285,0.46402,1.34557,0.99451,1.16741,0.000616049,0.000616049,0.000616049
47,2800.26,0.85641,0.84338,1.04641,0.78327,0.64894,0.71432,0.44858,1.34789,1.02667,1.18307,0.000605051,0.000605051,0.000605051
48,2860.26,0.84108,0.8344,1.03888,0.75966,0.63163,0.7002,0.43739,1.40468,1.04513,1.21091,0.000594052,0.000594052,0.000594052
49,2917.99,0.84829,0.83969,1.0395,0.74138,0.62069,0.68357,0.42068,1.43365,1.15662,1.25821,0.000583053,0.000583053,0.000583053
50,2977.55,0.83986,0.82958,1.0391,0.75407,0.66909,0.72024,0.45282,1.38537,1.02765,1.19579,0.000572054,0.000572054,0.000572054
51,3035.65,0.84,0.82148,1.04041,0.8064,0.65442,0.72926,0.47472,1.3259,1.01233,1.16415,0.000561055,0.000561055,0.000561055
52,3095.07,0.83982,0.81879,1.03523,0.78803,0.67737,0.7356,0.46825,1.33184,0.95998,1.16918,0.000550056,0.000550056,0.000550056
53,3153.43,0.82606,0.81211,1.03435,0.76848,0.6645,0.71253,0.44983,1.36544,1.00106,1.1795,0.000539057,0.000539057,0.000539057
54,3213.15,0.83476,0.81638,1.03381,0.77166,0.66838,0.73126,0.46342,1.36605,0.97625,1.19349,0.000528058,0.000528058,0.000528058
55,3271.3,0.82688,0.80757,1.03198,0.82988,0.64435,0.73061,0.45806,1.36603,0.9807,1.17965,0.000517059,0.000517059,0.000517059
56,3328.87,0.83138,0.80433,1.03325,0.79739,0.67067,0.7391,0.46639,1.32874,0.96743,1.16706,0.00050606,0.00050606,0.00050606
57,3387.53,0.83244,0.80831,1.0318,0.77787,0.65252,0.7173,0.4526,1.38404,1.02408,1.20858,0.000495062,0.000495062,0.000495062
58,3444.8,0.8186,0.79934,1.0301,0.74415,0.66365,0.71134,0.44291,1.38506,1.03342,1.20952,0.000484063,0.000484063,0.000484063
59,3504.01,0.82615,0.79825,1.02688,0.81569,0.66368,0.73789,0.4711,1.32133,0.9652,1.17069,0.000473064,0.000473064,0.000473064
60,3562.28,0.8133,0.78762,1.02531,0.79401,0.69345,0.74647,0.48092,1.32185,0.92991,1.15954,0.000462065,0.000462065,0.000462065
61,3622.13,0.81618,0.78675,1.02555,0.82778,0.68126,0.73725,0.47306,1.33028,0.94466,1.16742,0.000451066,0.000451066,0.000451066
62,3680.5,0.81069,0.7812,1.02482,0.80198,0.67715,0.74379,0.47698,1.32346,0.94068,1.15813,0.000440067,0.000440067,0.000440067
63,3738.83,0.81062,0.77567,1.02375,0.78388,0.69058,0.74728,0.48229,1.31439,0.92942,1.15561,0.000429068,0.000429068,0.000429068
64,3797.75,0.80654,0.77275,1.02182,0.78312,0.67899,0.73468,0.46816,1.32662,0.95378,1.1637,0.000418069,0.000418069,0.000418069
65,3855.77,0.7992,0.76384,1.01828,0.79625,0.68172,0.74562,0.47824,1.3056,0.94049,1.13221,0.00040707,0.00040707,0.00040707
66,3914.71,0.80096,0.76368,1.01875,0.79511,0.69405,0.75002,0.49015,1.2658,0.91213,1.13687,0.000396071,0.000396071,0.000396071
67,3976.62,0.79969,0.76339,1.01706,0.84099,0.66903,0.75051,0.48738,1.30391,0.91519,1.16506,0.000385073,0.000385073,0.000385073
68,4040.54,0.80097,0.75907,1.01844,0.78624,0.69639,0.75326,0.48993,1.29494,0.92974,1.14286,0.000374074,0.000374074,0.000374074
69,4100.42,0.78658,0.74421,1.01352,0.77771,0.70231,0.74392,0.47325,1.32945,0.9509,1.17601,0.000363075,0.000363075,0.000363075
70,4158.25,0.79315,0.75379,1.01695,0.80351,0.71706,0.75712,0.49936,1.28308,0.87492,1.14594,0.000352076,0.000352076,0.000352076
71,4217.39,0.78937,0.74957,1.01433,0.81076,0.69326,0.75791,0.49743,1.28386,0.89789,1.13984,0.000341077,0.000341077,0.000341077
72,4276.51,0.78986,0.74698,1.01647,0.79216,0.69483,0.74373,0.48656,1.28747,0.91628,1.14991,0.000330078,0.000330078,0.000330078
73,4334.98,0.79115,0.75111,1.01314,0.84034,0.6891,0.75624,0.50064,1.26883,0.87263,1.12857,0.000319079,0.000319079,0.000319079
74,4394.33,0.77772,0.73121,1.00764,0.81526,0.69687,0.7545,0.49065,1.2752,0.88927,1.13437,0.00030808,0.00030808,0.00030808
75,4452.82,0.77439,0.72768,1.00598,0.79079,0.71571,0.75976,0.49479,1.28887,0.89798,1.13711,0.000297081,0.000297081,0.000297081
76,4511.31,0.77668,0.72803,1.00745,0.82989,0.69421,0.76298,0.50464,1.2645,0.87463,1.1249,0.000286083,0.000286083,0.000286083
77,4568.95,0.77853,0.72943,1.00758,0.80457,0.72189,0.76252,0.49687,1.28799,0.87885,1.13286,0.000275084,0.000275084,0.000275084
78,4628.06,0.76872,0.72106,1.00693,0.82693,0.69671,0.76109,0.50408,1.25232,0.88051,1.10983,0.000264085,0.000264085,0.000264085
79,4686.75,0.76943,0.7152,1.00481,0.84491,0.68483,0.76565,0.51086,1.23281,0.86114,1.10947,0.000253086,0.000253086,0.000253086
80,4745.54,0.76318,0.71777,1.00318,0.8204,0.70562,0.77069,0.51259,1.24401,0.86561,1.11374,0.000242087,0.000242087,0.000242087
81,4804.07,0.76211,0.7173,1.0018,0.81477,0.69664,0.75604,0.49881,1.25709,0.89227,1.12733,0.000231088,0.000231088,0.000231088
82,4863.24,0.7597,0.71186,1.00159,0.80721,0.71685,0.769,0.50917,1.25139,0.84978,1.1162,0.000220089,0.000220089,0.000220089
83,4921.11,0.76262,0.71221,1.00204,0.81732,0.70513,0.76847,0.50562,1.27614,0.87443,1.13059,0.00020909,0.00020909,0.00020909
84,4979.17,0.7549,0.70321,0.99706,0.81273,0.72176,0.76296,0.50118,1.26885,0.88236,1.13177,0.000198091,0.000198091,0.000198091
85,5037.79,0.75784,0.70196,0.99847,0.82459,0.71786,0.77285,0.51774,1.2296,0.8569,1.11644,0.000187092,0.000187092,0.000187092
86,5096.21,0.75474,0.70081,0.99796,0.81047,0.71104,0.76471,0.50694,1.24373,0.86738,1.11336,0.000176094,0.000176094,0.000176094
87,5154.66,0.75158,0.70126,0.99548,0.79991,0.72508,0.76677,0.51131,1.24061,0.85933,1.11531,0.000165095,0.000165095,0.000165095
88,5213.76,0.75221,0.69754,0.99566,0.80214,0.7253,0.76424,0.51461,1.23068,0.85384,1.11075,0.000154096,0.000154096,0.000154096
89,5271.15,0.74508,0.69078,0.99341,0.79936,0.73094,0.77293,0.51496,1.23119,0.84146,1.10796,0.000143097,0.000143097,0.000143097
90,5330.15,0.74455,0.68977,0.99523,0.79678,0.7415,0.77329,0.50507,1.27918,0.85075,1.14514,0.000132098,0.000132098,0.000132098
91,5391.79,0.73122,0.61624,0.97978,0.81572,0.72556,0.77126,0.5186,1.21018,0.84305,1.10201,0.000121099,0.000121099,0.000121099
92,5448.35,0.70306,0.57112,0.9663,0.81984,0.7156,0.77622,0.52394,1.20348,0.82419,1.10092,0.0001101,0.0001101,0.0001101
93,5503.65,0.69974,0.56437,0.96186,0.81974,0.71524,0.78009,0.52537,1.20573,0.83615,1.09509,9.91012e-05,9.91012e-05,9.91012e-05
94,5558.79,0.69316,0.55949,0.96273,0.8101,0.72747,0.77734,0.52543,1.20996,0.83651,1.09652,8.81023e-05,8.81023e-05,8.81023e-05
95,5613.92,0.68802,0.55146,0.95843,0.83816,0.73363,0.78462,0.53277,1.19322,0.81982,1.09734,7.71034e-05,7.71034e-05,7.71034e-05
96,5669.38,0.68606,0.55021,0.95834,0.82546,0.73239,0.7861,0.5274,1.19679,0.82341,1.09286,6.61045e-05,6.61045e-05,6.61045e-05
97,5724.52,0.68195,0.5429,0.95498,0.81522,0.73376,0.78191,0.53166,1.18926,0.81541,1.09335,5.51056e-05,5.51056e-05,5.51056e-05
98,5780.82,0.677,0.538,0.9552,0.82893,0.72877,0.78238,0.53039,1.18953,0.81718,1.09362,4.41067e-05,4.41067e-05,4.41067e-05
99,5835.66,0.67101,0.53646,0.95543,0.8352,0.73053,0.78745,0.53082,1.19075,0.81004,1.09813,3.31078e-05,3.31078e-05,3.31078e-05
100,5890.98,0.67216,0.53773,0.95423,0.83945,0.71522,0.78339,0.52689,1.19896,0.81485,1.09911,2.21089e-05,2.21089e-05,2.21089e-05
